Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Rainfall_7d_mm,Rainfall_14d_mm,Rainfall_21d_mm,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Elevation,Slope
2018-07-23 20:00:00,46.37618802844072,12.293108163840037,random-0331-no-landslide,99.0,No Rutschung,36.223876953125,68.77,39.16,5.8,19.6,-6.0,956.0,125.0,39.55421,1389,26
2020-12-20 02:00:00,46.5392805618194,10.959309483476472,random-0332-no-landslide,99.0,No Rutschung,3.1689605712890625,109.5,141.64,5.85,20.3,-6.2,499.0,70.0,47.85977,1347,17
2022-02-12 01:00:00,46.95807946612239,11.318049879424953,random-0333-no-landslide,99.0,No Rutschung,23.25726318359375,36.8,4.93,1.5708333,13.9,-8.9,927.0,122.0,35.134262,2046,21
2018-08-25 20:00:00,46.98497425085007,11.641947353218082,random-0334-no-landslide,99.0,No Rutschung,108.106201171875,98.05,87.24,2.1875,15.2,-8.8,1042.0,142.0,38.477116,1870,20
2018-05-31 10:00:00,46.97504418863358,11.74155336724982,random-0335-no-landslide,99.0,No Rutschung,53.25445556640625,37.33,50.91,-2.9541667,7.9,-12.6,1365.0,154.0,18.750196,2744,25
2022-09-14 00:00:00,46.43818049335856,10.558828510781826,random-0336-no-landslide,99.0,No Rutschung,25.66766357421875,14.87,56.52,-3.125,8.7,-13.5,642.0,71.0,17.36302,2702,15
2019-09-28 15:00:00,46.989693348952684,12.08326294584134,random-0337-no-landslide,99.0,No Rutschung,19.200439453125,3.07,33.25,-1.6375,9.7,-11.5,1417.0,162.0,20.486656,2621,10
2020-11-05 08:00:00,46.84299611397046,11.125538822566586,random-0338-no-landslide,99.0,No Rutschung,1.758056640625,36.69,12.42,-1.425,10.1,-11.3,952.0,110.0,21.053932,2536,17
2023-11-05 16:00:00,46.77732938887621,11.427064430819522,random-0339-no-landslide,99.0,No Rutschung,96.64794921875,38.04,22.72,3.95,17.7,-7.2,777.0,109.0,46.31865,1655,17
2022-06-06 02:00:00,46.289886334001686,11.360101670086271,random-0340-no-landslide,99.0,No Rutschung,45.23372650146485,32.28,43.48,6.5,20.4,-4.7,531.0,71.0,47.52082,1413,9
2016-06-01 19:00:00,46.99961228317654,10.504891974652866,random-0341-no-landslide,99.0,No Rutschung,103.75119018554688,59.61,77.02,0.59166664,13.4,-10.9,985.0,118.0,25.050558,2086,17
2023-07-09 12:00:00,46.51674027877206,11.6042228584047,random-0342-no-landslide,99.0,No Rutschung,86.964599609375,51.29,8.36,3.65,17.1,-7.3,771.0,109.0,45.266186,1813,11
2024-08-16 15:00:00,46.33834279233158,12.215853541652018,random-0343-no-landslide,99.0,No Rutschung,3.299999952316284,0.0,0.06,7.429167,22.1,-5.7,869.0,107.0,36.670567,968,11
2021-05-28 13:00:00,46.37679448459383,11.334528636888953,random-0344-no-landslide,99.0,No Rutschung,16.324920654296875,16.72,31.64,8.375,23.3,-4.1,613.0,80.0,43.13077,1028,8
2017-08-08 01:00:00,46.8330320427677,12.292254745212585,random-0345-no-landslide,99.0,No Rutschung,81.89654541015625,34.49,66.69,-0.09583327,11.6,-10.4,1345.0,164.0,26.94247,2358,14
2024-11-09 23:00:00,46.75375661922365,12.008751363014396,random-0346-no-landslide,99.0,No Rutschung,0.0,0.0,2.36,6.2875,20.9,-6.5,776.0,117.0,46.573433,1197,12
2019-07-25 14:00:00,47.00986097359815,11.69211250267379,random-0347-no-landslide,99.0,No Rutschung,65.0767822265625,59.88,17.33,-1.7,9.7,-11.7,1266.0,145.0,20.52298,2563,11
2022-09-22 11:00:00,46.405506543648194,11.415720617781655,random-0348-no-landslide,99.0,No Rutschung,1.3115234375,1.98,24.07,7.1375,21.6,-4.8,607.0,82.0,45.707718,1215,7
2022-07-17 12:00:00,46.26083198423826,12.265866946867488,random-0349-no-landslide,99.0,No Rutschung,33.52726745605469,30.11,80.96,8.804167,23.7,-4.7,934.0,109.0,30.901016,747,14
2021-03-19 07:00:00,46.67180092850705,12.369264598955086,random-0350-no-landslide,99.0,No Rutschung,11.5289306640625,9.26,0.02,3.2208333,16.4,-8.1,1089.0,149.0,39.593582,1726,14
2022-02-23 09:00:00,46.32537332348552,11.08554226717904,random-0351-no-landslide,99.0,No Rutschung,0.197021484375,15.34,6.6,9.770833,25.5,-3.9,660.0,79.0,36.509014,716,6
2022-01-25 05:00:00,46.32120254352067,10.860669145557305,random-0352-no-landslide,99.0,No Rutschung,0.0001220703125,0.0,8.16,8.333333,23.4,-4.6,596.0,75.0,39.45873,881,4
2023-03-04 21:00:00,46.60686436445564,12.266254307203756,random-0353-no-landslide,99.0,No Rutschung,5.758544921875,9.06,0.0,2.6583333,15.5,-8.3,1157.0,156.0,38.93508,1859,4
2018-05-13 07:00:00,46.48341465734563,12.079787724451974,random-0354-no-landslide,99.0,No Rutschung,42.862548828125,34.47,35.99,2.3833332,14.9,-8.3,1171.0,160.0,40.99557,1988,19
2023-12-17 22:00:00,46.70400427850651,10.56972006949518,random-0355-no-landslide,99.0,No Rutschung,14.20623779296875,8.44,54.15,2.6791668,15.7,-8.9,554.0,70.0,31.998537,2012,17
2019-09-19 09:00:00,46.58045590528434,11.492089941302122,random-0357-no-landslide,99.0,No Rutschung,1.5563831329345703,30.06,15.97,6.6458335,21.0,-5.1,682.0,97.0,48.587776,1311,26
2021-01-28 18:00:00,46.48038230127976,10.622730905633258,random-0358-no-landslide,99.0,No Rutschung,52.04095458984375,10.55,20.3,-4.741667,6.1,-14.3,819.0,85.0,12.799811,2970,7
2015-10-28 22:00:00,46.75604219298602,11.507304573178384,random-0359-no-landslide,99.0,No Rutschung,0.2821044921875,32.64,52.92,0.12083333,12.2,-10.0,941.0,119.0,31.115515,2335,9
2015-12-06 10:00:00,46.5691425907986,11.47320895191114,random-0360-no-landslide,99.0,No Rutschung,0.0,0.63,0.78,5.9416666,19.9,-5.4,669.0,95.0,48.712334,1438,11
2018-08-06 22:00:00,46.24887328258821,10.93614140994857,random-0361-no-landslide,99.0,No Rutschung,128.0521240234375,130.89,132.72,3.6041667,17.2,-7.8,303.0,42.0,51.983536,1679,17
2016-12-03 05:00:00,46.37706506360004,10.500961575521494,random-0362-no-landslide,99.0,No Rutschung,4.41973876953125,16.59,13.98,-1.1416667,11.5,-12.0,459.0,54.0,25.31797,2402,11
2016-12-29 04:00:00,46.86517771222835,12.256532796958105,random-0363-no-landslide,99.0,No Rutschung,0.1326904296875,2.61,0.07,3.266667,16.7,-8.3,1117.0,157.0,40.23038,1729,16
2019-05-15 09:00:00,46.84003237792066,11.15633311884865,random-0364-no-landslide,99.0,No Rutschung,46.09835815429688,56.43,39.0,4.0,17.5,-7.1,716.0,101.0,44.337753,1659,32
2018-08-27 17:00:00,46.61129503647988,10.570821732615352,random-0365-no-landslide,99.0,No Rutschung,6.589111328125,6.1,4.42,7.1666665,22.0,-5.7,553.0,77.0,43.08615,1171,18
2021-07-10 14:00:00,46.84089599162926,12.340710312378434,random-0366-no-landslide,99.0,No Rutschung,66.05911254882812,45.77,31.68,3.2208333,16.8,-8.6,1116.0,156.0,40.239315,1696,10
2016-02-27 23:00:00,46.6453086369077,11.129515420761734,random-0367-no-landslide,99.0,No Rutschung,0.64837646484375,8.58,25.56,8.891666,24.0,-3.8,685.0,91.0,39.984,808,29
2020-10-08 19:00:00,46.51168514736416,10.707099159654808,random-0368-no-landslide,99.0,No Rutschung,143.99261474609375,40.05,64.83,-1.0416666,11.0,-11.4,522.0,62.0,22.966969,2460,14
2021-06-07 02:00:00,46.798937873725166,12.095256792674723,random-0369-no-landslide,99.0,No Rutschung,4.881591796875,11.42,27.88,2.7416668,15.3,-7.8,1139.0,152.0,35.968952,2010,10
2021-11-03 14:00:00,46.95396119921037,11.01899200499367,random-0370-no-landslide,99.0,No Rutschung,39.572265625,5.71,0.12,4.1833334,18.1,-7.5,758.0,105.0,41.921963,1602,20
2023-02-21 04:00:00,46.53532593154128,11.300434401782702,random-0371-no-landslide,99.0,No Rutschung,0.0,0.0,0.53,7.4583335,22.0,-4.5,612.0,84.0,45.986,1220,5
2022-03-27 04:00:00,46.99063198088409,10.733210187382126,random-0372-no-landslide,99.0,No Rutschung,0.1021728515625,4.4,0.01,1.2291666,14.0,-9.9,871.0,109.0,28.243135,2047,32
2021-07-01 08:00:00,46.30061268707166,11.970948080766124,random-0373-no-landslide,99.0,No Rutschung,47.7174072265625,8.92,5.56,4.5499997,17.5,-6.1,1051.0,138.0,41.136837,1727,37
2019-08-12 12:00:00,46.93315717133083,12.33743236511348,random-0374-no-landslide,99.0,No Rutschung,35.74737548828125,64.87,34.0,2.875,16.5,-8.9,1130.0,158.0,39.33433,1697,12
2024-07-19 03:00:00,46.3623901251227,11.64756979177078,random-0375-no-landslide,99.0,No Rutschung,0.1099999994039535,0.0,2.83,6.6708336,21.1,-5.6,736.0,99.0,45.813732,1205,5
2019-01-21 20:00:00,46.97974141566618,10.93373333026729,random-0376-no-landslide,99.0,No Rutschung,3.8270263671875,101.53,63.41,-0.6791666,11.7,-11.3,937.0,111.0,23.05559,2298,10
2022-02-03 07:00:00,46.890533421801344,10.93167169322512,random-0377-no-landslide,99.0,No Rutschung,65.67364501953125,3.09,0.54,-2.9208333,8.8,-13.1,1064.0,115.0,15.731221,2677,25
2024-01-24 18:00:00,46.40493094751388,10.830617088811998,random-0378-no-landslide,99.0,No Rutschung,10.99383544921875,0.41,25.28,5.7,20.4,-7.0,465.0,64.0,46.968506,1319,13
