Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect
46.39199813061816,11.482740839096952,1209,7,7.0875,21.5,-4.9,643.0,87.0,46.31139,1,357
46.38303068367002,11.272011655078606,254,10,11.729167,27.7,-2.6,831.0,103.0,30.379948,1,250
46.413875918142,11.494176214619394,1090,7,7.616667,22.2,-4.6,660.0,89.0,44.736916,1,299
46.66155396550288,11.187660233289549,430,13,10.754167,26.7,-3.1,785.0,96.0,34.366764,1,260
46.38311065436588,11.282819980970345,433,0,11.079166,26.9,-3.0,786.0,95.0,32.191437,1,21
46.72428011180981,11.880097661211282,1377,20,5.866667,19.9,-6.1,818.0,123.0,48.89629,1,70
46.480319154985,11.262216920293232,337,4,11.354167,27.4,-3.0,815.0,99.0,32.560555,1,21
46.68658413249887,10.607653928695283,1707,24,4.6041665,18.4,-7.6,505.0,67.0,39.77931,1,150
46.57910727148798,11.611715682593298,1420,11,6.0,20.1,-5.5,712.0,101.0,47.76835,1,335
46.53716167219623,11.777808740454702,1964,12,2.7375,15.7,-8.1,975.0,138.0,43.091763,1,287
46.350618864502486,11.33670232844682,944,12,8.533333,23.5,-4.0,634.0,80.0,40.696365,1,204
46.57215506266891,10.553655035937254,1474,13,5.0625,19.5,-7.6,474.0,67.0,46.2832,1,299
46.60912322891836,11.379946604604308,987,13,7.8416667,22.6,-4.6,706.0,96.0,43.598915,1,231
46.806483191776536,11.98692750772681,1292,14,6.1583333,20.5,-6.2,805.0,121.0,46.735332,1,174
46.601681612032486,11.585994101332837,1131,16,7.579167,22.3,-4.8,716.0,99.0,45.083565,1,188
46.56545600844298,11.552435850506996,1041,3,8.020833,23.1,-4.7,710.0,97.0,43.93276,1,351
46.42576986456934,11.349238433020709,322,19,11.266666,27.3,-2.8,821.0,102.0,32.05644,1,294
46.31443709945472,11.278788704654216,328,12,11.0125,26.6,-2.8,826.0,100.0,29.497879,1,326
46.22945353763133,11.212943563568222,575,18,10.445833,25.9,-2.9,741.0,87.0,32.18338,1,355
46.69561174491313,10.50051741685961,1543,14,4.991667,19.2,-7.6,544.0,74.0,40.953804,1,141
46.80109409501621,11.662994011523448,1165,16,7.1,21.5,-5.2,816.0,116.0,45.996464,1,163
46.58257215415532,11.170930925684006,382,19,10.679167,26.4,-3.1,781.0,91.0,33.244106,1,55
46.52411707917843,10.93426944572017,1362,17,5.9041667,20.2,-6.1,493.0,69.0,48.375378,1,133
46.59762968705877,11.570508785365918,794,4,8.995833,24.4,-4.4,757.0,99.0,39.113476,1,351
46.59691874403544,11.094513914729603,724,10,9.020833,24.1,-3.8,698.0,88.0,38.49957,1,135
46.43282911967888,11.472422927143343,1079,15,7.8416667,22.6,-4.5,655.0,88.0,44.27833,1,34
46.84324955842111,11.968106683310827,1315,21,6.054167,20.4,-6.3,840.0,124.0,46.301994,1,243
46.68640672813834,10.607550741604877,1707,24,4.6041665,18.4,-7.6,505.0,67.0,39.77931,1,150
46.754869616944674,11.874286525138874,1015,1,7.325,22.2,-5.8,794.0,116.0,45.014797,1,107
46.439498128533565,11.47761402508884,1116,21,7.7166667,22.4,-4.5,656.0,88.0,44.423054,1,239
46.52901221123396,11.27997003803938,910,16,8.866667,24.0,-4.0,664.0,87.0,41.273853,1,203
46.455476878802,11.25440447063902,473,6,10.858334,26.8,-3.3,782.0,91.0,33.633316,1,78
46.23927659586938,11.225513058209712,474,24,10.6875,26.1,-2.8,780.0,92.0,30.5021,1,333
46.3156339924021,11.299530249305365,541,18,10.095833,25.4,-3.2,761.0,89.0,32.296146,1,341
46.322935119263136,11.303619659671783,705,22,9.508333,24.7,-3.5,705.0,83.0,35.597282,1,276
46.33341453789939,11.307651372181276,466,14,10.5125,26.1,-3.1,779.0,93.0,32.0219,1,311
46.57356282312112,11.355977499842693,1116,19,7.679167,22.2,-4.3,659.0,90.0,45.322712,1,160
46.542999464422834,11.328247680633824,1219,2,7.4875,22.0,-4.3,626.0,86.0,46.390747,1,161
46.94452006902365,11.378661593727273,1516,18,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1,26
46.623146051905536,11.51199615031822,1043,17,7.670833,22.4,-4.9,736.0,101.0,44.445023,1,104
46.48020777168455,11.50337838596804,929,14,8.541667,23.6,-4.3,704.0,92.0,41.32774,1,228
46.68193824552701,10.916725614609456,1747,33,4.0458336,17.3,-7.1,497.0,69.0,43.996536,1,51
46.71520152862446,11.9028489381328,1238,14,6.358333,20.8,-6.2,787.0,117.0,47.144505,1,34
46.278591685425845,11.28441497185749,1336,11,6.7625,20.6,-4.5,515.0,69.0,47.69899,1,250
46.61926955856876,11.553090970041982,788,18,9.020833,24.3,-4.3,765.0,100.0,39.501812,1,317
46.43799841700511,11.47776059362148,1116,21,7.7166667,22.4,-4.5,656.0,88.0,44.423054,1,239
46.60710453296572,11.139770722003448,678,12,9.5875,24.9,-3.4,708.0,89.0,37.138832,1,30
46.451371049023166,11.466460364625348,1273,14,7.1708336,21.6,-4.6,630.0,87.0,46.993305,1,211
46.5587549670059,10.56120267449884,1607,10,4.208333,18.4,-8.3,449.0,62.0,45.689293,1,238
46.98609443925796,11.200891000363136,2508,12,-1.6791667,9.7,-11.7,1084.0,124.0,19.853111,0,338
46.35362342124306,11.61998250690712,1370,17,5.954167,20.0,-5.7,721.0,101.0,48.395893,0,151
