Datum,Latitude,Longitude,UUID,MOVEMENT_C,MOVEMENT_D,Temperature_500hPa_K,Temperature_700hPa_K,Temperature_850hPa_K
2021-08-08 00:00:00,46.87557337934325,11.49720301415909,e7f7b3e0-389c-11ec-aba8-0242ac130002,2.0,Gleitung rotational/translational,262.32421875,275.582763671875,284.38037109375
2020-08-12 00:00:00,46.48833504854909,11.24696177673015,4a2cd72a-4860-11ec-8b77-0242ac13000d,2.0,Gleitung rotational/translational,263.05712890625,279.655517578125,288.661376953125
2020-05-12 00:00:00,46.48020445847947,11.26211888112004,959df324-4879-11ec-9060-0242ac13000d,2.0,Gleitung rotational/translational,255.02613830566406,270.773193359375,280.25537109375
2021-01-08 00:00:00,46.650196641680076,11.361238427619169,801b88e4-389e-11ec-9225-0242ac130002,2.0,Gleitung rotational/translational,239.63755798339844,257.6212158203125,263.422119140625
2021-08-08 00:00:00,46.87631852966007,11.424746909111175,f74a9b4e-389e-11ec-a2e0-0242ac130002,2.0,Gleitung rotational/translational,262.164794921875,275.492919921875,284.3271484375
2021-08-08 00:00:00,46.86259739826822,11.484053217456223,43c20818-389f-11ec-8478-0242ac130002,2.0,Gleitung rotational/translational,262.32421875,275.582763671875,284.38037109375
2020-05-12 00:00:00,46.56460914288428,11.52396537711623,9b0dbf88-3e60-11ec-855a-0242ac13000d,2.0,Gleitung rotational/translational,254.93116760253906,270.473388671875,280.6337890625
2020-05-12 00:00:00,46.26870126445248,11.241097905787203,81004bd0-487c-11ec-87fd-0242ac13000d,2.0,Gleitung rotational/translational,255.10816955566406,271.308349609375,280.8447265625
2021-05-08 00:00:00,46.9021462855348,11.878095559361153,ecaae614-4175-11ec-8520-0242ac13000d,2.0,Gleitung rotational/translational,251.06748962402344,264.354736328125,272.41259765625
2021-05-08 00:00:00,46.89989438416883,11.852021483227517,6c0edb86-4176-11ec-8167-0242ac13000d,2.0,Gleitung rotational/translational,251.06748962402344,264.354736328125,272.41259765625
